edge2,edge1,id,Year
33299,73,73,2015
68025,73,73,2015
42419,73,73,2015
99,73,73,2015
34584,73,73,2015
17,73,73,2015
56856,73,73,2015
53510,73,73,2015
1074,73,73,2015
12350,73,73,2015
68143,73,73,2015
23324,73,73,2015
32412,73,73,2015
31745,73,73,2015
18318,73,73,2015
58468,86,86,2014
34584,86,86,2014
55386,86,86,2014
3198,86,86,2014
53216,86,86,2014
31743,86,86,2014
53575,86,86,2014
34318,86,86,2014
2304,86,86,2014
36829,86,86,2014
55410,86,86,2014
35588,86,86,2014
19492,86,86,2014
32785,86,86,2014
58468,87,87,2014
32792,87,87,2014
20064,87,87,2014
52636,87,87,2014
55386,87,87,2014
22058,87,87,2014
2967,87,87,2014
55573,87,87,2014
34010,87,87,2014
35289,87,87,2014
34321,87,87,2014
45413,87,87,2014
53575,87,87,2014
56172,87,87,2014
34669,87,87,2014
33159,87,87,2014
4095,87,87,2014
35493,87,87,2014
33148,87,87,2014
33299,94,94,2014
68416,94,94,2014
68025,94,94,2014
11216,94,94,2014
34584,94,94,2014
53693,94,94,2014
68127,94,94,2014
112,94,94,2014
44489,94,94,2014
68068,94,94,2014
33994,94,94,2014
33063,94,94,2014
48331,94,94,2014
68143,94,94,2014
110,94,94,2014
32412,94,94,2014
24926,94,94,2014
17833,94,94,2014
64672,94,94,2014
31745,94,94,2014
21972,99,99,2014
53760,99,99,2014
53693,99,99,2014
23244,99,99,2014
1074,99,99,2014
53809,99,99,2014
16117,99,99,2014
33063,99,99,2014
12350,99,99,2014
68143,99,99,2014
55451,99,99,2014
22332,99,99,2014
55881,99,99,2014
53965,99,99,2014
62406,104,104,2013
53569,104,104,2013
3690,104,104,2013
51393,104,104,2013
38249,104,104,2013
55609,104,104,2013
55681,104,104,2013
20839,104,104,2013
33938,104,104,2013
55399,104,104,2013
3234,104,104,2013
33299,110,110,2013
48947,110,110,2013
68416,110,110,2013
68025,110,110,2013
11216,110,110,2013
68493,110,110,2013
68127,110,110,2013
112,110,110,2013
68068,110,110,2013
20533,110,110,2013
33992,110,110,2013
12350,110,110,2013
48331,110,110,2013
68143,110,110,2013
53231,110,110,2013
68059,110,110,2013
24926,110,110,2013
64672,110,110,2013
44700,112,112,2013
58534,112,112,2013
56059,112,112,2013
32461,112,112,2013
34940,112,112,2013
44969,112,112,2013
23343,112,112,2013
68127,112,112,2013
59842,112,112,2013
68331,112,112,2013
44489,112,112,2013
60608,112,112,2013
68182,112,112,2013
68305,112,112,2013
68068,112,112,2013
50826,112,112,2013
31745,112,112,2013
64672,112,112,2013
33299,118,118,2013
34584,118,118,2013
52614,118,118,2013
56856,118,118,2013
53693,118,118,2013
31744,118,118,2013
68127,118,118,2013
68068,118,118,2013
33063,118,118,2013
12350,118,118,2013
48331,118,118,2013
68059,118,118,2013
43198,161,161,2018
3464,161,161,2018
2796,161,161,2018
51669,161,161,2018
33478,161,161,2018
42053,161,161,2018
3374,161,161,2018
2240,161,161,2018
53760,161,161,2018
23244,161,161,2018
3973,161,161,2018
3262,161,161,2018
44660,161,161,2018
2945,161,161,2018
3683,161,161,2018
34576,161,161,2018
37694,161,161,2018
22050,161,161,2018
37991,161,161,2018
52976,161,161,2018
53054,161,161,2018
41936,161,161,2018
52041,161,161,2018
43771,161,161,2018
22370,161,161,2018
3405,161,161,2018
21528,161,161,2018
53965,161,161,2018
53295,194,194,2017
20222,194,194,2017
3509,194,194,2017
60726,194,194,2017
68078,194,194,2017
53760,194,194,2017
51393,194,194,2017
2117,194,194,2017
56286,194,194,2017
59720,194,194,2017
3246,194,194,2017
55609,194,194,2017
55451,194,194,2017
34623,194,194,2017
55816,194,194,2017
53131,194,194,2017
55399,194,194,2017
55464,194,194,2017
53965,194,194,2017
68025,203,203,2016
31741,203,203,2016
68493,203,203,2016
68127,203,203,2016
112,203,203,2016
44489,203,203,2016
68068,203,203,2016
64116,203,203,2016
35677,203,203,2016
68143,203,203,2016
32412,203,203,2016
24926,203,203,2016
94,203,203,2016
31745,203,203,2016
32568,210,210,2016
62021,210,210,2016
14579,210,210,2016
3075,210,210,2016
68237,210,210,2016
51393,210,210,2016
23631,210,210,2016
5726,210,210,2016
3138,210,210,2016
32103,210,210,2016
46986,210,210,2016
5382,210,210,2016
42637,210,210,2016
3034,210,210,2016
5733,210,210,2016
55609,210,210,2016
42044,210,210,2016
42039,210,210,2016
6741,210,210,2016
67831,210,210,2016
55399,210,210,2016
53965,210,210,2016
68416,231,231,2015
56059,231,231,2015
53693,231,231,2015
23343,231,231,2015
68127,231,231,2015
68331,231,231,2015
112,231,231,2015
61513,231,231,2015
68527,231,231,2015
44489,231,231,2015
60608,231,231,2015
68182,231,231,2015
43173,231,231,2015
68305,231,231,2015
68068,231,231,2015
32412,231,231,2015
50826,231,231,2015
31745,231,231,2015
62304,461,461,2010
33994,461,461,2010
17833,461,461,2010
2712,666,666,2017
21972,666,666,2017
52542,666,666,2017
3509,666,666,2017
59833,666,666,2017
53760,666,666,2017
52116,666,666,2017
51832,666,666,2017
18416,666,666,2017
2219,666,666,2017
3234,666,666,2017
53965,666,666,2017
5404,1253,1253,2014
2177,1253,1253,2014
51393,1253,1253,2014
22164,1253,1253,2014
53825,1253,1253,2014
4094,1253,1253,2014
52271,1253,1253,2014
52997,1253,1253,2014
51864,1253,1253,2014
11680,1253,1253,2014
55464,1253,1253,2014
56934,1273,1273,2014
53186,1273,1273,2014
52262,1273,1273,2014
42805,1273,1273,2014
53374,1273,1273,2014
15741,1273,1273,2014
17451,1273,1273,2014
52271,1273,1273,2014
62300,1273,1273,2014
20043,1273,1273,2014
19452,1273,1273,2014
2092,1273,1273,2014
20110,1273,1273,2014
41976,1273,1273,2014
56304,1273,1273,2014
1883,1273,1273,2014
18246,1273,1273,2014
3303,1275,1275,2014
3476,1275,1275,2014
55578,1275,1275,2014
1889,1275,1275,2014
3264,1275,1275,2014
55842,1275,1275,2014
20479,1275,1275,2014
37743,1275,1275,2014
1875,1275,1275,2014
42081,1275,1275,2014
53965,1275,1275,2014
62578,1279,1279,2014
41989,1279,1279,2014
58806,1279,1279,2014
68050,1279,1279,2014
53264,1279,1279,2014
55388,1279,1279,2014
56022,1279,1279,2014
22302,1279,1279,2014
4016,1279,1279,2014
52658,1279,1279,2014
53976,1279,1279,2014
53008,1279,1279,2014
25765,1279,1279,2014
2150,1289,1289,2014
22236,1289,1289,2014
52614,1289,1289,2014
52932,1289,1289,2014
61796,1289,1289,2014
52771,1289,1289,2014
53677,1289,1289,2014
5714,1289,1289,2014
22154,1289,1289,2014
34004,1300,1300,2014
59190,1300,1300,2014
55579,1300,1300,2014
3685,1300,1300,2014
57800,1300,1300,2014
5320,1300,1300,2014
23212,1300,1300,2014
53635,1300,1300,2014
4190,1300,1300,2014
55611,1345,1345,2013
61783,1345,1345,2013
53693,1345,1345,2013
53216,1345,1345,2013
